CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,TEMPORADA,fecha,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,growth_ratio,VENTAS_LOG,TOTAL_LOG,PRECIO_LOG,mes_sin,mes_cos,cluster,target_class,prob,decision,pred_sales,error_stock
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,21/01/2026,2026,1,21,3,6.0,684000.0,114000.0,6,0,Baja,2026-01-21,573060.0,284174.38,110000.0,324000.0,912000.0,239391.46,397862.39666666667,0.8378070175438597,1.9459101490553132,13.435714658591923,11.643962499267984,0.49999999999999994,0.8660254037844387,2,0,0.3595916312003669,Mantener,,
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,4/03/2026,2026,3,4,3,5.0,573060.0,114612.0,5,0,Baja,2026-03-04,121000.0,684000.0,284174.38,110000.0,319000.0,359391.45999999996,359862.39666666667,0.2111471748159006,1.791759469228055,13.25874744727329,11.649316514874544,1.0,6.123233995736766e-17,2,0,0.3576738933795821,Mantener,,
1003,BANDA 9107E MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,21/01/2026,2026,1,21,3,6.0,648000.0,108000.0,6,0,Baja,2026-01-21,114000.0,678000.0,3.0,398444.13,108000.0,358815.70999999996,413407.855,0.17592592592592593,1.9459101490553132,13.381647518543097,11.58989576532275,0.49999999999999994,0.8660254037844387,2,0,0.4004915928576738,Mantener,,
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),3/03/2026,2026,3,3,2,19.0,1738106.3,100565.19,6,0,Baja,2026-03-03,260000.0,260000.0,2476600.0,125000.0,124450.0,953866.6666666666,606175.0,0.14958808905991539,2.995732273553991,14.368307320531244,11.518571396660054,1.0,6.123233995736766e-17,2,0,0.09065018443919938,Mantener,176750.45946679715,83249.54053320285
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),6/03/2026,2026,3,6,5,5.0,653600.0,130720.0,5,0,Baja,2026-03-06,1048000.0,260000.0,1738106.3,260000.0,521000.0,752702.1,896784.3833333333,1.6034271725826192,1.791759469228055,13.39025235251452,11.78082056000337,1.0,6.123233995736766e-17,2,1,0.4914972023645066,Mantener,501359.3243141174,546640.6756858826
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),9/03/2026,2026,3,9,1,8.0,1048000.0,131000.0,8,0,Baja,2026-03-09,1417000.0,653600.0,260000.0,1738106.3,125000.0,883902.1,918884.3833333333,1.3520992366412214,2.1972245773362196,13.862395098061143,11.782960235741939,1.0,6.123233995736766e-17,2,1,0.29733116625843836,Mantener,565763.7040065473,851236.2959934527
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),10/03/2026,2026,3,10,2,11.0,1417000.0,130000.0,6,1,Baja,2026-03-10,130000.0,1048000.0,653600.0,260000.0,2476600.0,653866.6666666666,1072717.7166666666,0.09174311926605505,2.4849066497880004,14.164053224388871,11.775297421715827,1.0,6.123233995736766e-17,2,0,0.29794178337281635,Mantener,524260.36693405587,394260.36693405587
1005,BANDA 9124X MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),25/02/2026,2026,2,25,3,6.0,740000.0,123333.33,6,0,Baja,2026-02-25,1915000.0,360000.0,30799.62,125000.0,887109.3,171933.20666666667,345602.0033333334,2.5878378378378377,1.9459101490553132,13.51440681653079,11.722654077000726,0.8660254037844386,0.5000000000000001,2,1,0.31334763532578663,Mantener,311064.6568349095,1603935.3431650905
1005,BANDA 9124X MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),26/02/2026,2026,2,26,4,16.0,1915000.0,120714.29,14,1,Baja,2026-02-26,798400.75,740000.0,360000.0,30799.62,295703.1,376933.2066666667,321083.7866666668,0.41691945169712796,2.833213344056216,14.46522870278996,11.701190076776017,0.8660254037844386,0.5000000000000001,2,0,0.07698801318684968,Mantener,275339.3212274495,523061.4287725505
1005,BANDA 9124X MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),10/03/2026,2026,3,10,2,5.0,625000.0,125000.0,5,0,Baja,2026-03-10,375000.0,237500.0,125000.0,798400.75,360000.0,386966.9166666667,695983.4583333334,0.6,1.791759469228055,13.345508528717259,11.736077016252437,1.0,6.123233995736766e-17,2,0,0.36393068371766235,Mantener,363503.7786467974,11496.221353202593
