CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,fecha,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,diff_1,growth_1,precio_rel,impacto_prom,fin_semana,mes_sin,mes_cos,TEMPORADA_Baja,TEMPORADA_Media,cluster,target_class,pred_growth,prob_growth,pred_sales,decision
1,ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT),8/05/2025,2025,5,8,4,1.0,179400.0,179400.0,1,0,2025-05-08,14.0,448000.0,180000.0,2541494.54,2.0,1056498.18,600056.2333333333,-268600.0,0.4004464285714286,1.5562151923863934,0.0,0,0.49999999999999994,-0.8660254037844387,True,False,0,0,0,0.20437477808506976,2565.4782564289335,Monitorear / mantener inventario
1,ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT),28/06/2025,2025,6,28,6,14.0,14.0,1.0,1,0,2025-06-28,179400.0,179400.0,448000.0,180000.0,170000.0,269133.3333333333,629955.9,-179386.0,7.803790412486064e-05,8.67455514150721e-06,0.0,1,1.2246467991473532e-16,-1.0,False,True,0,1,1,0.9365841912462478,34418.889106781295,Reforzar stock / priorizar promoción
1001,BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A,22/07/2025,2025,7,22,2,2.0,156167.27,78083.63,1,0,2025-07-22,159000.0,480000.0,159000.0,159000.0,456331.68,266000.0,261388.61333333337,-323832.73,0.32534847916666665,0.7418203630942747,0.0,0,-0.4999999999999997,-0.8660254037844388,False,True,0,0,0,0.3885871523300895,73861.99763675762,Monitorear / mantener inventario
1001,BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A,16/01/2026,2026,1,16,5,3.0,476000.0,158666.67,3,0,2026-01-16,1.5,456331.68,159000.0,156167.27,159000.0,257166.31666666665,261583.15833333335,19668.320000000007,1.04310093044603,1.507385949530772,0.0,0,0.49999999999999994,0.8660254037844387,True,False,0,0,0,0.05114658867516531,45846.67360844263,Monitorear / mantener inventario
1001,BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A,10/02/2026,2026,2,10,2,1.5,1.5,1.0,1,0,2026-02-10,84578.91,476000.0,456331.68,159000.0,159000.0,363777.2266666666,314416.4916666667,-475998.5,3.1512605042016808e-06,9.500331415102944e-06,0.0,0,0.8660254037844386,0.5000000000000001,True,False,0,1,1,0.9759137153914775,42216.70677948978,Reforzar stock / priorizar promoción
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,10/05/2025,2025,5,10,6,3.0,342000.0,114000.0,1,0,2025-05-10,284174.38,114000.0,114000.0,114000.0,114000.0,114000.0,190721.2666666667,228000.0,3.0,1.3264331511087615,0.0,1,0.49999999999999994,-0.8660254037844387,True,False,0,0,0,0.018468500041853485,46870.36450688358,Monitorear / mantener inventario
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,13/05/2025,2025,5,13,2,4.0,284174.38,71043.6,1,0,2025-05-13,114000.0,342000.0,114000.0,114000.0,468327.6,190000.0,228721.2666666667,-57825.619999999995,0.8309192397660818,0.826619177316758,0.0,0,0.49999999999999994,-0.8660254037844387,True,False,0,0,0,0.15885714701815237,71023.63028950972,Monitorear / mantener inventario
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,14/05/2025,2025,5,14,3,1.0,114000.0,114000.0,1,0,2025-05-14,4.0,284174.38,342000.0,114000.0,220000.0,246724.7933333333,198029.06333333332,-170174.38,0.4011621315053102,1.3264331511087615,0.0,0,0.49999999999999994,-0.8660254037844387,True,False,0,0,0,0.4510634356671465,33288.49298847983,Monitorear / mantener inventario
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,8/07/2025,2025,7,8,2,8.0,912000.0,114000.0,8,0,2025-07-08,319000.0,798000.0,456000.0,4.0,342000.0,418001.3333333333,332363.0633333333,114000.0,1.1428571428571428,1.3264331511087615,0.0,0,-0.4999999999999997,-0.8660254037844388,False,True,2,0,0,0.02533064281090277,61522.6735197526,Monitorear / mantener inventario
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,5/11/2025,2025,11,5,3,3.0,324000.0,108000.0,3,0,2025-11-05,110000.0,438000.0,319000.0,912000.0,4.0,556333.3333333334,487167.3333333333,-114000.0,0.7397260273972602,1.256620879997774,0.0,0,-0.5000000000000004,0.8660254037844384,False,False,0,0,0,0.03173832144856978,88518.79945712509,Monitorear / mantener inventario
