CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,fecha,target,lag_1,lag_2,lag_3,lag_6,mean_3,mean_6,diff_1,growth_1,precio_rel,impacto_prom,fin_semana,mes_sin,mes_cos,TEMPORADA_Baja,TEMPORADA_Media,cluster,target_class,pred_growth,prob_growth,pred_sales,decision,error_stock
1001,BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A,16/01/2026,2026,1,16,5,3.0,476000.0,158666.67,3,0,2026-01-16,1.5,456331.68,159000.0,156167.27,159000.0,257166.31666666665,261583.15833333335,19668.320000000007,1.04310093044603,1.507385949530772,0.0,0,0.49999999999999994,0.8660254037844387,True,False,2,0,0,0.005223999565430519,17045.997490426904,Monitorear / mantener inventario,17044.497490426904
1002,BANDA 9107X MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,4/03/2026,2026,3,4,3,5.0,573060.0,114612.0,5,0,2026-03-04,121000.0,684000.0,284174.38,110000.0,319000.0,359391.45999999996,359862.39666666667,-110940.0,0.8378070175438597,1.3335540027620822,0.0,0,1.0,6.123233995736766e-17,True,False,2,0,0,0.0,153259.04307238382,Monitorear / mantener inventario,32259.04307238382
1003,BANDA 9107E MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA AG,21/01/2026,2026,1,21,3,6.0,648000.0,108000.0,6,0,2026-01-21,114000.0,678000.0,3.0,398444.13,108000.0,358815.70999999996,413407.855,-30000.0,0.9557522123893806,1.378370412390815,0.0,0,0.49999999999999994,0.8660254037844387,True,False,2,0,0,0.00031756737364750437,33456.15042645272,Monitorear / mantener inventario,80543.84957354728
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),23/12/2025,2025,12,23,2,5.0,640000.0,128000.0,7,0,2025-12-23,11.0,4.5,121000.0,370000.0,630500.08,163668.16666666666,416728.0633333333,639995.5,142222.22222222222,1.2387610293920277,0.0,0,-2.4492935982947064e-16,1.0,False,False,2,0,0,0.01,998.4202216138084,Monitorear / mantener inventario,987.4202216138084
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),24/02/2026,2026,2,24,2,4.0,521000.0,130250.0,4,0,2026-02-24,125000.0,130000.0,124450.0,131000.0,1048000.0,128483.33333333333,317569.75333333336,391000.0,4.007692307692308,1.2605361256118093,0.0,0,0.8660254037844386,0.5000000000000001,True,False,2,0,0,0.0,107669.19736508539,Monitorear / mantener inventario,17330.80263491461
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),26/02/2026,2026,2,26,4,19.0,2476600.0,130644.44,18,0,2026-02-26,260000.0,125000.0,521000.0,130000.0,131500.0,258666.66666666666,193825.0,2351600.0,19.8128,1.2643534451464453,0.0,0,0.8660254037844386,0.5000000000000001,True,False,2,0,0,0.0,67102.60501102662,Monitorear / mantener inventario,192897.3949889734
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),3/03/2026,2026,3,3,2,19.0,1738106.3,100565.19,6,0,2026-03-03,260000.0,260000.0,2476600.0,125000.0,124450.0,953866.6666666666,606175.0,1478106.3,6.685024230769231,0.9732518616047253,0.0,0,1.0,6.123233995736766e-17,True,False,2,0,0,0.005,46502.472159299956,Monitorear / mantener inventario,213497.52784070006
1004,BANDA 9124XX MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),10/03/2026,2026,3,10,2,11.0,1417000.0,130000.0,6,1,2026-03-10,130000.0,1048000.0,653600.0,260000.0,2476600.0,653866.6666666666,1072717.7166666666,369000.0,1.3520992366412214,1.258116670476278,1417000.0,0,1.0,6.123233995736766e-17,True,False,2,0,0,0.01,49086.71888576535,Monitorear / mantener inventario,80913.28111423465
1005,BANDA 9124X MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),20/01/2026,2026,1,20,2,12.0,887109.3,73925.77,3,0,2026-01-20,295703.1,708005.0,120000.0,120000.0,120000.0,316001.6666666667,227286.68333333344,179104.30000000005,1.252970388627199,0.7344232513807445,0.0,0,0.49999999999999994,0.8660254037844387,True,False,2,0,0,0.005,42554.13295279863,Monitorear / mantener inventario,253148.96704720135
1005,BANDA 9124X MEDIO JUEGO INCOLBEST (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Del) / (PAREJO MARCA ADAPTACIÃƒÆ’Ã¢â‚¬Å“N - TIPO Busetas en 8 segmentos UBIC Tras),11/02/2026,2026,2,11,3,3.0,375000.0,125000.0,3,0,2026-02-11,125000.0,295703.1,887109.3,708005.0,295703.1,630272.4666666667,404420.08333333343,79296.90000000002,1.268163911707385,1.2418255017511899,0.0,0,0.8660254037844386,0.5000000000000001,True,False,0,0,0,0.009739724277337582,68431.76415492505,Monitorear / mantener inventario,56568.235845074945
