"CODIGO";"DESCRIPCION";"ANIO";"MES";"VENTAS_MENSUALES";"FRECUENCIA";"PRECIO_PROMEDIO";"TOTAL_VENDIDO"
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;1;13,00;4;100.000,25;400.010,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;2;2,00;1;192.576,51;385.153,02
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;3;27,00;5;109.616,03;1.758.871,51
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;5;5,00;1;128.400,05;642.000,24
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;7;1,00;1;170.000,00;170.000,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;8;24,00;7;146.928,71;3.782.502,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.024;11;51,00;3;88.917,58;2.972.335,40
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.025;2;1,00;1;180.000,00;180.000,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.025;5;29,00;3;70.466,67;627.400,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.025;6;14,00;1;1,00;14,00
"1";"ANILLO COMPRESOR NISSAN HINO ESTANDAR AO3910 ST(Cummis 6BT)";2.025;10;1,00;1;179.400,00;179.400,00
"10";"ANILLO COMPRESOR A0030900-STD NISSAN 200/HINO 80MM";2.024;1;4,00;1;1,00;4,00
"10";"ANILLO COMPRESOR A0030900-STD NISSAN 200/HINO 80MM";2.024;11;13,00;2;69.096,69;668.320,50
"10";"ANILLO COMPRESOR A0030900-STD NISSAN 200/HINO 80MM";2.025;4;3,00;1;1,00;3,00
"10";"ANILLO COMPRESOR A0030900-STD NISSAN 200/HINO 80MM";2.025;10;12,00;4;78.937,00;947.244,00
"100";"PISTON COMPRESOR MONOPISTON BENDIX (215030)";2.024;1;1,00;1;1,00;1,00
"100";"PISTON COMPRESOR MONOPISTON BENDIX (215030)";2.024;11;2,00;1;1,00;2,00
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.024;1;1,00;1;1,00;1,00
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.024;10;6,00;6;30.000,44;180.002,67
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.024;11;2,00;2;90.000,33;180.000,67
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.025;8;2,00;1;246.000,00;492.000,00
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.025;9;2,00;2;1,00;2,00
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.025;12;2,00;2;1,00;2,00
"1000";"(DESCONTINUADA) BANDA 9106E MEDIO JUEGO INCOLBEST (PAREJO MARCA CHEVROLET   - TIPO Isuzu 580 / 660 con adaptacion 9"" UBIC Tras)";2.026;1;1,00;1;1,00;1,00
"1001";"BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A";2.024;1;9,00;2;44.645,75;357.167,00
"1001";"BANDA 9107XX MEDIO JUEGO INCOLBEST (A/C MARCA AGRALE Todos- TIPO Buseta Agrale UBIC Del) / (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Tras) // (A/C MARCA AGRALE 1993-1999 TIPO INTERNATIONAL - AGRALE CARGA UBIC Del) // (A/C MARCA A";2.024;2;4,00;2;39.685,22;158.740,89
