Código,Fecha,Ventas Actuales,Ventas Predichas,Error (%),Frecuencia
252,2022-11-01,218.0,59.02934212247477,15.67236839646461,213
957,2022-07-01,82.75,55.4296596037296,29.835873919329625,29
630,2022-10-01,304.0,54.05293925709864,21.66240687377008,83
956,2022-08-01,44.5,53.994540247239065,28.48405265266349,11
630,2022-11-01,177.0,53.5134561968439,15.05800603675572,73
625,2022-09-01,169.0,52.778376071395265,33.1919290235503,80
956,2022-09-01,57.5,52.67342160278816,20.19178545032097,28
666,2022-09-01,1274.0,52.46112015715252,26.111098370207714,189
957,2022-08-01,73.0,51.36936359604894,27.6487836675367,21
1195,2022-07-01,315.0,51.326870849836695,22.232013863883797,101
