"CODIGO";"DESCRIPCION";"FECHA";"ANIO";"MES";"DIA";"DIA_SEMANA";"VENTAS";"TOTAL_VENDIDO";"PRECIO_PROMEDIO";"FRECUENCIA";"HUBO_PROMOCION";"TEMPORADA"
"1632";"TORNILLO CENTRAL 3/8x8""";9/01/2024;2.024;1;9;2;2,00;11.000,00;5.500,00;1;0;"Baja"
"1607";"RACHE  SAP TRAS 1-1/2 ESTRIA GRUESA 3 HUECOS 5 REMACHES REF: 278323L";9/01/2024;2.024;1;9;2;8,00;680.000,00;85.000,00;8;0;"Baja"
"1533";"PERNO FORD CARGO 1721 RANDON 1X4 1/2 ESTRIA LARGA";9/01/2024;2.024;1;9;2;16,00;352.000,00;22.000,00;16;0;"Baja"
"1479";"AMARRA PLASTICA AP10  4.8x280MM";9/01/2024;2.024;1;9;2;6,00;3.000,00;500,00;3;0;"Baja"
"1442";"RODAJA NQR 2""";9/01/2024;2.024;1;9;2;2,00;40.000,00;20.000,00;1;0;"Baja"
"143";"SOLUCION DE LIMPIEZA INDUSTRIAL";9/01/2024;2.024;1;9;2;58,00;290.000,00;5.000,00;29;0;"Baja"
"1351";"ACOPLE FRENO B1 MACHO 1/2x5/8  BENDIX HT";9/01/2024;2.024;1;9;2;7,00;70.000,00;10.000,00;7;0;"Baja"
"1327";"RETEN SNA 370018 RDA TRA.INT. AGRALE BUSETAS AÑO 1997/2002.FORD CARGO 815 GIRATORIO Lubricacion rodamienrtos baño de aceite 82.5X114.3X19 US";9/01/2024;2.024;1;9;2;2,00;74.000,00;37.000,00;2;0;"Baja"
"1293";"AMARRA PLASTICA AP13  7.2 x400 MM";9/01/2024;2.024;1;9;2;8,00;4.700,00;587,50;4;0;"Baja"
"1270";"VALVULA REGULADORA DE BOMBONA USA";9/01/2024;2.024;1;9;2;2,00;100.000,00;50.000,00;2;0;"Baja"
"1265";"CAPSULA MANGUERA R115  1/2 IMP";9/01/2024;2.024;1;9;2;14,00;112.000,00;8.000,00;7;0;"Baja"
"1250";"MANTENIMIENTO";9/01/2024;2.024;1;9;2;21,00;2.366.570,00;112.693,81;19;0;"Baja"
"1248";"RESORTE DE BANDA #80 KENWORTH CURVO MEDIDA ESPECIAL 24.1/2 CMS";9/01/2024;2.024;1;9;2;12,00;360.000,00;30.000,00;12;0;"Baja"
"1249";"ACOPLE HEMBRA MANGUERA ACERADA R115 DE 1/2x7/8";9/01/2024;2.024;1;9;2;7,00;84.000,00;12.000,00;7;0;"Baja"
