CODIGO,DESCRIPCION,FECHA,ANIO,MES,DIA,DIA_SEMANA,VENTAS,TOTAL_VENDIDO,PRECIO_PROMEDIO,FRECUENCIA,HUBO_PROMOCION,TEMPORADA
1800,RETEN SNA RDA.TRA.JAC IVECO 95X130X20 US,2024-01-09,2024,1,9,2,13.0,416000.0,32000.0,8,0,Baja 
177,EMPAQUE DE CULATA  TUFLO 500,2024-01-09,2024,1,9,2,3.0,24000.0,8000.0,3,0,Baja 
1722,"RODAJA NQR 1""",2024-01-09,2024,1,9,2,2.0,12400.0,6200.0,1,0,Baja 
1632,"TORNILLO CENTRAL 3/8x8""",2024-01-09,2024,1,9,2,2.0,11000.0,5500.0,1,0,Baja 
1607,RACHE  SAP TRAS 1-1/2 ESTRIA GRUESA 3 HUECOS 5 REMACHES REF: 278323L,2024-01-09,2024,1,9,2,8.0,680000.0,85000.0,8,0,Baja 
1533,PERNO FORD CARGO 1721 RANDON 1X4 1/2 ESTRIA LARGA,2024-01-09,2024,1,9,2,16.0,352000.0,22000.0,16,0,Baja 
1479,AMARRA PLASTICA AP10  4.8x280MM,2024-01-09,2024,1,9,2,6.0,3000.0,500.0,3,0,Baja 
1442,"RODAJA NQR 2""",2024-01-09,2024,1,9,2,2.0,40000.0,20000.0,1,0,Baja 
143,SOLUCION DE LIMPIEZA INDUSTRIAL,2024-01-09,2024,1,9,2,58.0,290000.0,5000.0,29,0,Baja 
1351,ACOPLE FRENO B1 MACHO 1/2x5/8  BENDIX HT,2024-01-09,2024,1,9,2,7.0,70000.0,10000.0,7,0,Baja 
1327,RETEN SNA 370018 RDA TRA.INT. AGRALE BUSETAS AÑO 1997/2002.FORD CARGO 815 GIRATORIO Lubricacion rodamienrtos baño de aceite 82.5X114.3X19 US,2024-01-09,2024,1,9,2,2.0,74000.0,37000.0,2,0,Baja 
1293,AMARRA PLASTICA AP13  7.2 x400 MM,2024-01-09,2024,1,9,2,8.0,4700.0,587.5,4,0,Baja 
1270,VALVULA REGULADORA DE BOMBONA USA,2024-01-09,2024,1,9,2,2.0,100000.0,50000.0,2,0,Baja 
1265,CAPSULA MANGUERA R115  1/2 IMP,2024-01-09,2024,1,9,2,14.0,112000.0,8000.0,7,0,Baja 
1250,MANTENIMIENTO,2024-01-09,2024,1,9,2,21.0,2366570.0,112693.80952380953,19,0,Baja 
1248,RESORTE DE BANDA #80 KENWORTH CURVO MEDIDA ESPECIAL 24.1/2 CMS,2024-01-09,2024,1,9,2,12.0,360000.0,30000.0,12,0,Baja 
1249,ACOPLE HEMBRA MANGUERA ACERADA R115 DE 1/2x7/8,2024-01-09,2024,1,9,2,7.0,84000.0,12000.0,7,0,Baja 
1206,RESORTE DE BANDA #38 AGRALE M/N,2024-01-09,2024,1,9,2,1.0,10000.0,10000.0,1,0,Baja 
1185,RESORTE DE BANDA #17 DODGE 600 TRASERO 20 CMS REFORZADO,2024-01-09,2024,1,9,2,19.0,247000.0,13000.0,19,0,Baja 
1195,RESORTE DE BANDA #27 GRADUACION AGRALE,2024-01-09,2024,1,9,2,76.0,608000.0,8000.0,19,0,Baja 
1184,RESORTE DE BANDA #16 TRAILLLER 24CM SM,2024-01-09,2024,1,9,2,25.0,362500.0,14500.0,19,0,Baja 
1166,RESORTE DE SEGURIDAD DE CAMARA TIPO 24 (ASPIRAL),2024-01-09,2024,1,9,2,2.0,70000.0,35000.0,2,0,Baja 
